,LeagueId,SeasonId,RoundApiId
563,39,2021,39-2021-27
564,39,2021,39-2021-28
565,39,2021,39-2021-30
566,39,2021,39-2021-29
567,39,2021,39-2021-31
568,39,2021,39-2021-32
569,39,2021,39-2021-33
570,39,2021,39-2021-34
571,39,2021,39-2021-37
572,39,2021,39-2021-35
573,39,2021,39-2021-36
574,39,2021,39-2021-38
575,39,2022,39-2022-1
576,39,2022,39-2022-2
577,39,2022,39-2022-3
578,39,2022,39-2022-4
579,39,2022,39-2022-5
580,39,2022,39-2022-6
581,39,2022,39-2022-8
582,39,2022,39-2022-9
583,39,2022,39-2022-10
584,39,2022,39-2022-11
585,39,2022,39-2022-12
586,39,2022,39-2022-13
587,39,2022,39-2022-14
588,39,2022,39-2022-15
589,39,2022,39-2022-16
590,39,2022,39-2022-17
591,39,2022,39-2022-18
592,39,2022,39-2022-19
593,39,2022,39-2022-7
594,39,2022,39-2022-20
595,39,2022,39-2022-21
596,39,2022,39-2022-22
597,39,2022,39-2022-23
598,39,2022,39-2022-24
599,39,2022,39-2022-25
600,39,2022,39-2022-26
601,39,2022,39-2022-27
602,39,2022,39-2022-28
603,39,2022,39-2022-29
604,39,2022,39-2022-30
605,39,2022,39-2022-31
606,39,2022,39-2022-32
607,39,2022,39-2022-33
608,39,2022,39-2022-34
609,39,2022,39-2022-35
610,39,2022,39-2022-36
611,39,2022,39-2022-37
612,39,2022,39-2022-38
613,39,2023,39-2023-1
614,39,2023,39-2023-2
615,39,2023,39-2023-3
616,39,2023,39-2023-4
617,39,2023,39-2023-5
618,39,2023,39-2023-6
619,39,2023,39-2023-7
620,39,2023,39-2023-8
621,39,2023,39-2023-9
622,39,2023,39-2023-10
623,39,2023,39-2023-11
624,39,2023,39-2023-12
625,39,2023,39-2023-13
626,39,2023,39-2023-14
627,39,2023,39-2023-15
628,39,2023,39-2023-16
629,39,2023,39-2023-17
630,39,2023,39-2023-18
631,39,2023,39-2023-19
632,39,2023,39-2023-20
633,39,2023,39-2023-21
634,39,2023,39-2023-22
635,39,2023,39-2023-23
636,39,2023,39-2023-24
