,TeamApiId,Name,Code,Country,Founded,National,Logo
145,97,Lorient,LOR,France,1926.0,False,https://media.api-sports.io/football/teams/97.png
146,102,Nancy,NAN,France,1967.0,False,https://media.api-sports.io/football/teams/102.png
147,112,Metz,MET,France,1932.0,False,https://media.api-sports.io/football/teams/112.png
148,1063,Saint Etienne,ETI,France,1920.0,False,https://media.api-sports.io/football/teams/1063.png
149,1305,Bastia,BAS,France,1905.0,False,https://media.api-sports.io/football/teams/1305.png
150,87,Amiens,AMI,France,1901.0,False,https://media.api-sports.io/football/teams/87.png
151,95,Strasbourg,STR,France,1906.0,False,https://media.api-sports.io/football/teams/95.png
152,110,Estac Troyes,TRO,France,1986.0,False,https://media.api-sports.io/football/teams/110.png
153,92,Nimes,NIM,France,1937.0,False,https://media.api-sports.io/football/teams/92.png
154,93,Reims,REI,France,1909.0,False,https://media.api-sports.io/football/teams/93.png
155,106,Stade Brestois 29,BRE,France,1950.0,False,https://media.api-sports.io/football/teams/106.png
156,116,Lens,LEN,France,1906.0,False,https://media.api-sports.io/football/teams/116.png
157,99,Clermont Foot,CLE,France,1990.0,False,https://media.api-sports.io/football/teams/99.png
158,108,Auxerre,AUX,France,1905.0,False,https://media.api-sports.io/football/teams/108.png
159,98,Ajaccio,AJA,France,1910.0,False,https://media.api-sports.io/football/teams/98.png
160,111,Le Havre,HAV,France,1872.0,False,https://media.api-sports.io/football/teams/111.png
161,114,Paris FC,PAR,France,1969.0,False,https://media.api-sports.io/football/teams/114.png
162,193,PEC Zwolle,ZWO,Netherlands,1910.0,False,https://media.api-sports.io/football/teams/193.png
163,194,Ajax,AJA,Netherlands,1900.0,False,https://media.api-sports.io/football/teams/194.png
164,195,Willem II,WIL,Netherlands,1896.0,False,https://media.api-sports.io/football/teams/195.png
165,196,Excelsior,EXC,Netherlands,1902.0,False,https://media.api-sports.io/football/teams/196.png
166,197,PSV Eindhoven,PSV,Netherlands,1913.0,False,https://media.api-sports.io/football/teams/197.png
167,198,ADO Den Haag,HAA,Netherlands,1905.0,False,https://media.api-sports.io/football/teams/198.png
168,200,Vitesse,VIT,Netherlands,1892.0,False,https://media.api-sports.io/football/teams/200.png
