Id,FixturesId,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore,Day,Month,Year
4400,157201,39,2019,39-2019-19,33,34,2019-12-26 17:30:00,FT,4,1,26,12,2019
4401,157200,39,2019,39-2019-19,46,40,2019-12-26 20:00:00,FT,0,4,26,12,2019
4402,157204,39,2019,39-2019-19,39,50,2019-12-27 19:45:00,FT,3,2,27,12,2019
4403,157206,39,2019,39-2019-20,51,35,2019-12-28 12:30:00,FT,2,0,28,12,2019
4404,157210,39,2019,39-2019-20,34,45,2019-12-28 15:00:00,FT,1,2,28,12,2019
4405,157213,39,2019,39-2019-20,38,66,2019-12-28 15:00:00,FT,3,0,28,12,2019
4406,157212,39,2019,39-2019-20,41,52,2019-12-28 15:00:00,FT,1,1,28,12,2019
4407,157214,39,2019,39-2019-20,48,46,2019-12-28 17:30:00,FT,1,2,28,12,2019
4408,157211,39,2019,39-2019-20,71,47,2019-12-28 17:30:00,FT,2,2,28,12,2019
4409,157207,39,2019,39-2019-20,44,33,2019-12-28 19:45:00,FT,0,2,28,12,2019
4410,157205,39,2019,39-2019-20,42,49,2019-12-29 14:00:00,FT,1,2,29,12,2019
4411,157208,39,2019,39-2019-20,40,39,2019-12-29 16:30:00,FT,1,0,29,12,2019
4412,157209,39,2019,39-2019-20,50,62,2019-12-29 18:00:00,FT,2,0,29,12,2019
4413,157217,39,2019,39-2019-21,44,66,2020-01-01 12:30:00,FT,1,2,1,1,2020
4414,157216,39,2019,39-2019-21,51,49,2020-01-01 12:30:00,FT,1,1,1,1,2020
4415,157220,39,2019,39-2019-21,34,46,2020-01-01 15:00:00,FT,0,3,1,1,2020
4416,157223,39,2019,39-2019-21,38,39,2020-01-01 15:00:00,FT,2,1,1,1,2020
4417,157222,39,2019,39-2019-21,41,47,2020-01-01 15:00:00,FT,1,0,1,1,2020
4418,157224,39,2019,39-2019-21,48,35,2020-01-01 17:30:00,FT,4,0,1,1,2020
4419,157219,39,2019,39-2019-21,50,45,2020-01-01 17:30:00,FT,2,1,1,1,2020
4420,157221,39,2019,39-2019-21,71,52,2020-01-01 17:30:00,FT,1,1,1,1,2020
4421,157215,39,2019,39-2019-21,42,33,2020-01-01 20:00:00,FT,2,0,1,1,2020
4422,157218,39,2019,39-2019-21,40,62,2020-01-02 20:00:00,FT,2,0,2,1,2020
4423,157232,39,2019,39-2019-22,62,48,2020-01-10 20:00:00,FT,1,0,10,1,2020
4424,157228,39,2019,39-2019-22,52,42,2020-01-11 12:30:00,FT,1,1,11,1,2020
4425,157231,39,2019,39-2019-22,33,71,2020-01-11 15:00:00,FT,4,0,11,1,2020
4426,157234,39,2019,39-2019-22,39,34,2020-01-11 15:00:00,FT,1,1,11,1,2020
