Id,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore
1208498,140,2024,140-2024-1,533,530,2024-08-19 19:30:00,FT,2,2
1208504,140,2024,140-2024-2,538,532,2024-08-23 17:00:00,FT,3,1
1208507,140,2024,140-2024-2,536,533,2024-08-23 19:30:00,FT,1,2
1208511,140,2024,140-2024-2,727,798,2024-08-24 15:00:00,FT,1,0
1208510,140,2024,140-2024-2,529,531,2024-08-24 17:00:00,FT,2,1
1212911,140,2024,140-2024-2,540,548,2024-08-24 19:30:00,FT,0,1
1208505,140,2024,140-2024-2,546,728,2024-08-24 19:30:00,FT,0,0
1208506,140,2024,140-2024-2,541,720,2024-08-25 15:00:00,FT,3,0
1208509,140,2024,140-2024-2,537,534,2024-08-25 17:00:00,FT,2,1
1208508,140,2024,140-2024-2,542,543,2024-08-25 17:15:00,FT,0,0
1208503,140,2024,140-2024-2,530,547,2024-08-25 19:30:00,FT,3,0
1208518,140,2024,140-2024-3,533,538,2024-08-26 19:30:00,FT,4,3
1208515,140,2024,140-2024-3,798,536,2024-08-27 17:00:00,FT,0,0
1208517,140,2024,140-2024-3,728,529,2024-08-27 19:30:00,FT,1,2
1208512,140,2024,140-2024-3,531,532,2024-08-28 17:00:00,FT,1,0
1208520,140,2024,140-2024-3,720,537,2024-08-28 17:00:00,FT,0,0
1212912,140,2024,140-2024-3,530,540,2024-08-28 19:30:00,FT,0,0
1208519,140,2024,140-2024-3,548,542,2024-08-28 19:30:00,FT,1,2
1208514,140,2024,140-2024-3,547,727,2024-08-29 17:00:00,FT,4,0
1208516,140,2024,140-2024-3,534,541,2024-08-29 19:30:00,FT,1,1
1208522,140,2024,140-2024-4,529,720,2024-08-31 15:00:00,FT,7,0
1208521,140,2024,140-2024-4,531,530,2024-08-31 17:00:00,FT,0,1
1212913,140,2024,140-2024-4,540,728,2024-08-31 17:15:00,FT,2,1
1208524,140,2024,140-2024-4,532,533,2024-08-31 19:30:00,FT,1,1
1208526,140,2024,140-2024-4,537,798,2024-08-31 19:30:00,FT,0,1
1208525,140,2024,140-2024-4,542,534,2024-09-01 15:00:00,FT,2,0
1208528,140,2024,140-2024-4,727,538,2024-09-01 15:00:00,FT,3,2
1208529,140,2024,140-2024-4,536,547,2024-09-01 17:00:00,FT,0,2
1208523,140,2024,140-2024-4,546,548,2024-09-01 17:15:00,FT,0,0
1208527,140,2024,140-2024-4,541,543,2024-09-01 19:30:00,FT,2,0
1208531,140,2024,140-2024-5,543,537,2024-09-13 19:00:00,FT,2,0
1208533,140,2024,140-2024-5,798,533,2024-09-14 12:00:00,FT,1,2
1212914,140,2024,140-2024-5,540,542,2024-09-14 14:15:00,FT,3,2
1208536,140,2024,140-2024-5,536,546,2024-09-14 16:30:00,FT,1,0
1208538,140,2024,140-2024-5,548,541,2024-09-14 19:00:00,FT,0,2
1208532,140,2024,140-2024-5,538,720,2024-09-15 12:00:00,FT,3,1
1208535,140,2024,140-2024-5,547,529,2024-09-15 14:15:00,FT,1,4
1208534,140,2024,140-2024-5,534,531,2024-09-15 16:30:00,FT,2,3
1208530,140,2024,140-2024-5,530,532,2024-09-15 19:00:00,FT,3,0
1208537,140,2024,140-2024-5,728,727,2024-09-16 19:00:00,FT,3,1
1208550,140,2024,140-2024-7,798,548,2024-09-17 17:00:00,FT,1,0
1208513,140,2024,140-2024-3,543,546,2024-09-18 17:00:00,FT,2,1
1208552,140,2024,140-2024-7,537,531,2024-09-19 17:00:00,FT,0,2
1208542,140,2024,140-2024-6,542,536,2024-09-20 19:00:00,FT,2,1
1208546,140,2024,140-2024-6,720,548,2024-09-21 12:00:00,FT,0,0
1208547,140,2024,140-2024-6,727,534,2024-09-21 14:15:00,FT,2,1
1208545,140,2024,140-2024-6,532,547,2024-09-21 16:30:00,FT,2,0
1212915,140,2024,140-2024-6,541,540,2024-09-21 19:00:00,FT,4,1
1208541,140,2024,140-2024-6,546,537,2024-09-22 12:00:00,FT,1,1
1208539,140,2024,140-2024-6,531,538,2024-09-22 14:15:00,FT,3,1
1208544,140,2024,140-2024-6,533,529,2024-09-22 16:30:00,FT,1,5
1208543,140,2024,140-2024-6,728,530,2024-09-22 19:00:00,FT,1,1
1208540,140,2024,140-2024-6,543,798,2024-09-23 19:00:00,FT,1,2
1208555,140,2024,140-2024-7,532,727,2024-09-24 17:00:00,FT,0,0
1208551,140,2024,140-2024-7,536,720,2024-09-24 17:00:00,FT,2,1
1208556,140,2024,140-2024-7,541,542,2024-09-24 19:00:00,FT,3,2
1208549,140,2024,140-2024-7,547,728,2024-09-25 17:00:00,FT,0,0
1208548,140,2024,140-2024-7,529,546,2024-09-25 19:00:00,FT,1,0
1208554,140,2024,140-2024-7,534,543,2024-09-26 17:00:00,FT,1,1
1212916,140,2024,140-2024-7,540,533,2024-09-26 17:00:00,FT,1,2
1208553,140,2024,140-2024-7,538,530,2024-09-26 19:00:00,FT,0,1
1208562,140,2024,140-2024-8,720,798,2024-09-27 19:00:00,FT,1,2
1208564,140,2024,140-2024-8,546,542,2024-09-28 12:00:00,FT,2,0
1208565,140,2024,140-2024-8,728,537,2024-09-28 14:15:00,FT,1,1
1208560,140,2024,140-2024-8,548,532,2024-09-28 16:30:00,FT,3,0
1208561,140,2024,140-2024-8,727,529,2024-09-28 19:00:00,FT,4,2
1208559,140,2024,140-2024-8,538,547,2024-09-29 12:00:00,FT,1,1
1208557,140,2024,140-2024-8,531,536,2024-09-29 14:15:00,FT,1,1
1212917,140,2024,140-2024-8,543,540,2024-09-29 16:30:00,FT,1,0
1208558,140,2024,140-2024-8,530,541,2024-09-29 19:00:00,FT,1,1
1208563,140,2024,140-2024-8,533,534,2024-09-30 19:00:00,FT,3,1
1208569,140,2024,140-2024-9,537,532,2024-10-04 19:00:00,FT,0,0
1212918,140,2024,140-2024-9,540,798,2024-10-05 12:00:00,FT,2,1
1208566,140,2024,140-2024-9,546,727,2024-10-05 14:15:00,FT,1,1
1208573,140,2024,140-2024-9,534,538,2024-10-05 16:30:00,FT,0,1
1208574,140,2024,140-2024-9,720,728,2024-10-05 16:30:00,FT,1,2
1208567,140,2024,140-2024-9,541,533,2024-10-05 19:00:00,FT,2,0
1208570,140,2024,140-2024-9,547,531,2024-10-06 12:00:00,FT,2,1
1208568,140,2024,140-2024-9,542,529,2024-10-06 14:15:00,FT,0,3
1208572,140,2024,140-2024-9,536,543,2024-10-06 16:30:00,FT,1,0
1208571,140,2024,140-2024-9,548,530,2024-10-06 19:00:00,FT,1,1
1208580,140,2024,140-2024-10,542,720,2024-10-18 19:00:00,FT,2,3
1212919,140,2024,140-2024-10,531,540,2024-10-19 12:00:00,FT,4,1
1208581,140,2024,140-2024-10,727,543,2024-10-19 14:15:00,FT,1,2
1208578,140,2024,140-2024-10,547,548,2024-10-19 16:30:00,FT,0,1
1208577,140,2024,140-2024-10,538,541,2024-10-19 19:00:00,FT,1,2
1208579,140,2024,140-2024-10,798,728,2024-10-20 12:00:00,FT,1,0
1208575,140,2024,140-2024-10,530,537,2024-10-20 14:15:00,FT,3,1
1208582,140,2024,140-2024-10,533,546,2024-10-20 16:30:00,FT,1,1
1208576,140,2024,140-2024-10,529,536,2024-10-20 19:00:00,FT,5,1
1208583,140,2024,140-2024-10,532,534,2024-10-21 19:00:00,FT,2,3
1212920,140,2024,140-2024-11,540,536,2024-10-25 19:00:00,FT,0,2
1208591,140,2024,140-2024-11,720,533,2024-10-26 12:00:00,FT,1,2
1208592,140,2024,140-2024-11,728,542,2024-10-26 14:15:00,FT,1,0
1208589,140,2024,140-2024-11,534,547,2024-10-26 16:30:00,FT,1,0
1208587,140,2024,140-2024-11,541,529,2024-10-26 19:00:00,FT,0,4
1208588,140,2024,140-2024-11,537,538,2024-10-27 12:00:00,FT,3,0
1208584,140,2024,140-2024-11,546,532,2024-10-27 14:15:00,FT,1,1
1208586,140,2024,140-2024-11,543,530,2024-10-27 16:30:00,FT,1,0
1208590,140,2024,140-2024-11,548,727,2024-10-27 20:00:00,FT,0,2
1208585,140,2024,140-2024-11,798,531,2024-10-28 20:00:00,FT,0,0
1208598,140,2024,140-2024-12,542,798,2024-11-01 20:00:00,FT,1,0
1208597,140,2024,140-2024-12,727,720,2024-11-02 13:00:00,FT,1,0
1208596,140,2024,140-2024-12,547,537,2024-11-02 15:15:00,FT,4,3
1208594,140,2024,140-2024-12,530,534,2024-11-03 13:00:00,FT,2,0
1212921,140,2024,140-2024-12,529,540,2024-11-03 15:15:00,FT,3,1
1208601,140,2024,140-2024-12,536,548,2024-11-03 17:30:00,FT,0,2
1208593,140,2024,140-2024-12,531,543,2024-11-03 20:00:00,FT,1,1
1208595,140,2024,140-2024-12,538,546,2024-11-04 20:00:00,FT,1,0
1208609,140,2024,140-2024-13,728,534,2024-11-08 20:00:00,FT,1,3
1208608,140,2024,140-2024-13,541,727,2024-11-09 13:00:00,FT,4,0
1208610,140,2024,140-2024-13,533,542,2024-11-09 15:15:00,FT,3,0
1208604,140,2024,140-2024-13,537,536,2024-11-09 20:00:00,FT,1,0
1208602,140,2024,140-2024-13,543,538,2024-11-10 13:00:00,FT,2,2
1208606,140,2024,140-2024-13,798,530,2024-11-10 15:15:00,FT,0,1
1208603,140,2024,140-2024-13,546,547,2024-11-10 17:30:00,FT,0,1
1208605,140,2024,140-2024-13,720,531,2024-11-10 17:30:00,FT,1,1
1208607,140,2024,140-2024-13,548,529,2024-11-10 20:00:00,FT,1,0
1208612,140,2024,140-2024-14,546,720,2024-11-22 20:00:00,FT,2,0
1208617,140,2024,140-2024-14,532,543,2024-11-23 13:00:00,FT,4,2
1208619,140,2024,140-2024-14,530,542,2024-11-23 15:15:00,FT,2,1
1208614,140,2024,140-2024-14,534,798,2024-11-23 17:30:00,FT,2,3
1212923,140,2024,140-2024-14,547,540,2024-11-23 17:30:00,FT,4,1
1208616,140,2024,140-2024-14,538,529,2024-11-23 20:00:00,FT,2,2
1208613,140,2024,140-2024-14,727,533,2024-11-24 13:00:00,FT,2,2
1208618,140,2024,140-2024-14,536,728,2024-11-24 15:15:00,FT,1,0
1208615,140,2024,140-2024-14,537,541,2024-11-24 17:30:00,FT,0,3
1208611,140,2024,140-2024-14,531,548,2024-11-24 20:00:00,FT,1,0
1208621,140,2024,140-2024-15,798,532,2024-11-29 20:00:00,FT,2,1
1208620,140,2024,140-2024-15,529,534,2024-11-30 13:00:00,FT,1,2
1208622,140,2024,140-2024-15,542,537,2024-11-30 15:15:00,FT,1,1
1212924,140,2024,140-2024-15,540,538,2024-11-30 17:30:00,FT,3,1
1208624,140,2024,140-2024-15,720,530,2024-11-30 20:00:00,FT,0,5
1208627,140,2024,140-2024-15,533,547,2024-12-01 13:00:00,FT,2,2
1208626,140,2024,140-2024-15,541,546,2024-12-01 15:15:00,FT,2,0
1208623,140,2024,140-2024-15,728,531,2024-12-01 17:30:00,FT,1,2
1208625,140,2024,140-2024-15,548,543,2024-12-01 20:00:00,FT,2,0
1208628,140,2024,140-2024-15,536,727,2024-12-02 20:00:00,FT,1,1
1208661,140,2024,140-2024-19,798,529,2024-12-03 18:00:00,FT,1,5
1208656,140,2024,140-2024-19,531,541,2024-12-04 20:00:00,FT,2,1
